FullGeoName,sewershed,jurisdiction,counties,detection_category,first_sample_collect_date,population_served,latitude,longitude
ID:188,ID:188,California,Stanislaus,H5 Detection,2024-07-29,86000,37.54172733031361,-120.70431342053081
ID:145,ID:145,California,San Diego,H5 Detection,2024-07-28,2200000,32.771877715444106,-117.30311970267996
ID:2348,ID:2348,California,Placer,No Detection,2024-07-29,130000,38.87678913569684,-121.23017809667971
ID:179,ID:179,California,Santa Cruz,No Detection,2024-07-28,160000,37.14894471737223,-121.98304397928648
ID:2281,ID:2281,Texas,Taylor,No Detection,2024-08-06,125000,32.25182718639711,-99.7073161694584
ID:510,ID:510,Indiana,Hamilton,No Detection,2024-07-29,86000,40.01956787551031,-86.18044476075586
ID:339,ID:339,Georgia,Fulton,No Detection,2024-07-28,294660,33.9190259364978,-84.45904020247876
ID:438,ID:438,Illinois,Du Page,No Detection,2024-07-29,86000,41.90785066955975,-88.0541641509046
ID:5,ID:5,Alabama,Jefferson,No Detection,2024-07-29,77000,33.71839632661354,-86.77081364069844
ID:529,ID:529,Indiana,St Joseph,No Detection,2024-07-28,130000,41.83600726352702,-86.306592824531
ID:700,ID:700,Maine,Cumberland,No Detection,2024-07-29,65000,43.848531568614945,-70.48563259257553
ID:1017,ID:1017,Minnesota,Olmsted,No Detection,2024-07-29,120000,44.15340261929176,-92.57597015705285
ID:140,ID:140,California,Sacramento,No Detection,2024-07-28,1480000,38.20517956262602,-121.34651099046307
ID:1843,ID:1843,Texas,Andrews,No Detection,2024-08-06,13502,32.278599658337285,-102.5883104848913
ID:2346,ID:2346,California,El Dorado,No Detection,2024-07-29,131000,38.68166077140474,-121.1777293089998
ID:556,ID:556,Kansas,Wyandotte,No Detection,2024-07-30,90000,39.18320729335971,-94.67945267531567
ID:1832,ID:1832,South Dakota,Yankton,No Detection,2024-07-28,20000,42.82779562082256,-97.26066947697944
ID:2087,ID:2087,West Virginia,Ohio,No Detection,2024-07-29,100000,40.19878342703371,-80.54902660608879
ID:193,ID:193,California,Yolo,No Detection,2024-07-29,68000,38.651252813384176,-121.83947511083414
ID:1847,ID:1847,Texas,Cooke,No Detection,2024-07-29,17300,33.62128175158408,-97.06479826699672
ID:109,ID:109,California,Lake,No Detection,2024-08-02,9000,39.19284033026135,-123.01860330930485
ID:313,ID:313,Florida,Orange,No Detection,2024-07-28,277823,28.602631517848398,-81.25057781483684
ID:314,ID:314,Florida,Orange,No Detection,2024-07-28,66690,28.51107971706066,-81.48355794904963
ID:215,ID:215,Colorado,Douglas,No Detection,2024-07-29,25000,39.562312825464836,-104.83299525667465
ID:180,ID:180,California,Santa Cruz,No Detection,2024-07-29,60000,37.00223279677598,-121.8932741302602
ID:374,ID:374,Idaho,Ada,No Detection,2024-07-29,186901,43.719939253124764,-116.3197866967876
ID:148,ID:148,California,"San Francisco, San Mateo",No Detection,2024-07-28,750000,37.8546957821796,-122.25449492874378
ID:1965,ID:1965,Vermont,Chittenden,No Detection,2024-07-29,30000,44.599588790948744,-73.06511332759521
ID:174,ID:174,California,Santa Clara,No Detection,2024-07-28,110338,37.06309143927852,-121.44618650401436
ID:2006,ID:2006,Virginia,Stafford,No Detection,2024-07-29,50000,38.43274731736836,-77.29487600507484
ID:639,ID:639,Louisiana,Orleans,No Detection,2024-07-29,333406,29.944870869811524,-90.0094574579124
ID:1921,ID:1921,Texas,Webb,No Detection,2024-07-29,140000,27.554964334689682,-99.35254156701517
ID:114,ID:114,California,Los Angeles,No Detection,2024-07-28,3500000,33.70046444604535,-118.26244758587465
ID:16,ID:16,Alaska,Juneau,No Detection,2024-09-05,22000,58.50442572455033,-134.39962128381325
ID:441,ID:441,Illinois,Du Page,No Detection,2024-07-29,63000,41.71897014355042,-88.02750550992928
ID:130,ID:130,California,Napa,No Detection,2024-07-29,83300,38.59121205264642,-122.28781507236481
ID:628,ID:628,Louisiana,Lafayette,No Detection,2024-09-06,20000,30.25208445982324,-92.08481190729265
